Ref #,Title,Link,Type,FP Number
GCF/B.42/16,"Optimized approach to monitoring, evaluation, and learning: Co-Chairs’ proposal",https://www.greenclimate.fund/document/gcf-b42-16,Action item,N/A
GCF/B.42/14/Add.01,Co-Chairs’ proposal on a new structure for Board committees: Proposal for discussion – Addendum I: Response matrix,https://www.greenclimate.fund/document/gcf-b42-14-add01,Action item,N/A
GCF/B.42/14,Co-Chairs’ proposal on a new structure for Board committees: Proposal for discussion,https://www.greenclimate.fund/document/gcf-b42-14,Action item,N/A
GCF/B.42/02/Rev.01,Consideration of funding proposals,https://www.greenclimate.fund/document/gcf-b42-02-rev01,Action item,N/A
GCF/B.42/11,Consideration of funding proposals: extension of deadline in respect of FP221 (Rwanda Green Investment Facility (RGIF)),https://www.greenclimate.fund/document/gcf-b42-11,Action item,FP221
GCF/B.42/06,Status of approved funding proposals: adding host countries in respect of FP205 (“Infrastructure Climate Resilient Fund”),https://www.greenclimate.fund/document/gcf-b42-06,Action item,FP205
GCF/B.42/02/Add.01,Consideration of funding proposals – Addendum I Funding proposal package for SAP050,https://www.greenclimate.fund/document/gcf-b42-02-add01,Action item,N/A
GCF/B.42/02/Add.02,Consideration of funding proposals – Addendum II Funding proposal package for SAP051,https://www.greenclimate.fund/document/gcf-b42-02-add02,Action item,N/A
GCF/B.42/02/Add.03,Consideration of funding proposals – Addendum III Funding proposal package for SAP052,https://www.greenclimate.fund/document/gcf-b42-02-add03,Action item,N/A
GCF/B.42/02/Add.04,Consideration of funding proposals – Addendum IV Funding proposal package for SAP053,https://www.greenclimate.fund/document/gcf-b42-02-add04,Action item,N/A
GCF/B.42/02/Add.11,Consideration of funding proposals – Addendum XI Funding proposal package for FP269,https://www.greenclimate.fund/document/gcf-b42-02-add11,Action item,FP269
GCF/B.42/02/Add.05,Consideration of funding proposals –  Addendum V  Funding proposal package for SAP054,https://www.greenclimate.fund/document/gcf-b42-02-add05,Action item,N/A
GCF/B.42/02/Add.06,Consideration of funding proposals – Addendum VI Funding proposal package for FP264,https://www.greenclimate.fund/document/gcf-b42-02-add06,Action item,FP264
GCF/B.42/02/Add.12,Consideration of funding proposals – Addendum XII Funding proposal package for FP270,https://www.greenclimate.fund/document/gcf-b42-02-add12,Action item,FP270
GCF/B.42/02/Add.07,Consideration of funding proposals – Addendum VII Funding proposal package for FP265,https://www.greenclimate.fund/document/gcf-b42-02-add07,Action item,FP265
GCF/B.42/02/Add.13,Consideration of funding proposals – Addendum XIII Funding proposal package for FP271,https://www.greenclimate.fund/document/gcf-b42-02-add13,Action item,FP271
GCF/B.42/02/Add.08,Consideration of funding proposals – Addendum VIII Funding proposal package for FP266,https://www.greenclimate.fund/document/gcf-b42-02-add08,Action item,FP266
GCF/B.42/02/Add.09,Consideration of funding proposals – Addendum IX  Funding proposal package for FP267,https://www.greenclimate.fund/document/gcf-b42-02-add09,Action item,FP267
GCF/B.42/02/Add.15,Consideration of funding proposals – Addendum XV Funding proposal package for FP273,https://www.greenclimate.fund/document/gcf-b42-02-add15,Action item,FP273
GCF/B.42/02/Add.16,Consideration of funding proposals – Addendum XVI Funding proposal package for FP274,https://www.greenclimate.fund/document/gcf-b42-02-add16,Action item,FP274
GCF/B.42/02/Add.17,Consideration of funding proposals – Addendum XVII Funding proposal package for FP275,https://www.greenclimate.fund/document/gcf-b42-02-add17,Action item,FP275
GCF/B.42/03/Add.01,Consideration of accreditation proposals – Addendum I Accreditation assessment of APL150,https://www.greenclimate.fund/document/gcf-b42-03-add01,Action item,N/A
GCF/B.42/03/Add.02,Consideration of accreditation proposals – Addendum II Accreditation assessment of APL151,https://www.greenclimate.fund/document/gcf-b42-03-add02,Action item,N/A
GCF/B.42/03/Add.08,Consideration of accreditation proposals – Addendum VIII Accreditation assessment of APL157,https://www.greenclimate.fund/document/gcf-b42-03-add08,Action item,N/A
GCF/B.42/03/Add.03,Consideration of accreditation proposals – Addendum III Accreditation assessment of APL152,https://www.greenclimate.fund/document/gcf-b42-03-add03,Action item,N/A
GCF/B.42/03/Add.04,Consideration of accreditation proposals – Addendum IV Accreditation assessment of APL153,https://www.greenclimate.fund/document/gcf-b42-03-add04,Action item,N/A
GCF/B.42/03/Add.07,Consideration of accreditation proposals – Addendum VII Accreditation assessment of APL156,https://www.greenclimate.fund/document/gcf-b42-03-add07,Action item,N/A
GCF/B.42/03/Add.06,Consideration of accreditation proposals – Addendum VI Accreditation assessment of APL155,https://www.greenclimate.fund/document/gcf-b42-03-add06,Action item,N/A
GCF/B.42/03/Add.05,Consideration of accreditation proposals – Addendum V Accreditation assessment of APL154,https://www.greenclimate.fund/document/gcf-b42-03-add05,Action item,N/A
GCF/B.42/03,Consideration of accreditation proposals,https://www.greenclimate.fund/document/gcf-b42-03,Action item,N/A
GCF/B.42/02/Add.14,Consideration of funding proposals – Addendum XIV Funding proposal package for FP272,https://www.greenclimate.fund/document/gcf-b42-02-add14-0,Action item,FP272
GCF/B.42/02/Add.10,Consideration of funding proposals – Addendum X Funding proposal package for FP268,https://www.greenclimate.fund/document/gcf-b42-02-add10,Action item,FP268
GCF/B.42/07,Status of approved funding proposals: adding a host country in respect of FP211 (“Hardest-to-Reach”),https://www.greenclimate.fund/document/gcf-b42-07,Action item,FP211
GCF/B.42/05,Consideration of funding proposals: extension of the deadline in respect of FP153 (Mongolia Green Finance Corporation),https://www.greenclimate.fund/document/gcf-b42-05,Action item,FP153
GCF/B.42/02/Add.19,Consideration of funding proposals – Addendum XIX Funding proposal package for FP277,https://www.greenclimate.fund/document/gcf-b42-02-add19,Action item,N/A
GCF/B.42/02/Add.18,Consideration of funding proposals – Addendum XVIII Funding proposal package for FP276,https://www.greenclimate.fund/document/gcf-b42-02-add18,Action item,N/A
GCF/B.41/02/Add.12/Rev.02,Consideration of funding proposals – Addendum XII Funding proposal package for FP264,https://www.greenclimate.fund/document/gcf-b41-02-add12-rev02,Action item,FP264
GCF/B.41/02/Rev.02,Consideration of funding proposals,https://www.greenclimate.fund/document/gcf-b41-02-rev02,Action item,N/A
GCF/B.41/02/Add.09/Rev.01,Consideration of funding proposals – Addendum IX Funding proposal package for FP261,https://www.greenclimate.fund/document/gcf-b41-02-add09-rev01,Action item,FP261
GCF/B.41/14,Proposal for establishing GCF regional presence,https://www.greenclimate.fund/document/gcf-b41-14,Action item,N/A
GCF/B.41/14/Add.01,Response matrix for Board comments received on the draft document “Proposal for establishing GCF regional presence”,https://www.greenclimate.fund/document/gcf-b41-14-add01,Action item,N/A
GCF/B.41/03/Rev.01,Consideration of accreditation proposals,https://www.greenclimate.fund/document/gcf-b41-03-rev01,Action item,N/A
GCF/B.41/03/Add.02/Rev.01,Consideration of accreditation proposals – Addendum II Accreditation assessment of APL145,https://www.greenclimate.fund/document/gcf-b41-03-add02-rev01,Action item,N/A
GCF/B.41/03/Add.01,Consideration of accreditation proposals – Addendum I  Accreditation assessment of APL144,https://www.greenclimate.fund/document/gcf-b41-03-add01,Action item,N/A
GCF/B.41/03/Add.03,Consideration of accreditation proposals – Addendum III Accreditation assessment of APL146,https://www.greenclimate.fund/document/gcf-b41-03-add03,Action item,N/A
GCF/B.41/03/Add.03,Consideration of accreditation proposals – Addendum III Accreditation assessment of APL146,https://www.greenclimate.fund/document/gcf-b41-03-add03-0,Action item,N/A
GCF/B.41/03/Add.04,Consideration of accreditation proposals – Addendum IV Accreditation assessment of APL147,https://www.greenclimate.fund/document/gcf-b41-03-add04,Action item,N/A
GCF/B.41/03/Add.05,Consideration of accreditation proposals – Addendum V Accreditation assessment of APL148,https://www.greenclimate.fund/document/gcf-b41-03-add05,Action item,N/A
